,src,to,weights,weight_rank
315,resp1982,resp2543,0.23142857142857146,6.0
316,resp1984,resp5810,0.15750000000000006,4.0
317,resp1984,resp5822,0.42,4.0
318,resp199,resp5484,0.3388235294117647,8.0
319,resp1993,resp5657,0.13090909090909092,5.0
320,resp1995,resp2567,0.36,1.0
321,resp1996,resp4049,0.5929411764705883,1.0
322,resp2001,resp3545,0.3,9.0
323,resp2010,resp466,0.5647058823529413,1.0
324,resp2012,resp5,0.3927272727272727,3.0
325,resp2021,resp169,0.09,10.0
326,resp2022,resp3796,0.3085714285714285,1.0
327,resp2023,resp28,0.16615384615384615,1.0
328,resp2025,resp4935,0.225,16.0
329,resp2027,resp4657,0.36,2.0
330,resp2029,resp5657,0.2475,2.0
331,resp2029,resp96,0.055000000000000014,3.0
332,resp203,resp3549,0.07,6.0
333,resp2034,resp1170,0.5,4.0
334,resp2039,resp5617,0.5538461538461539,2.0
335,resp2043,resp5850,0.21600000000000005,2.0
336,resp2045,resp793,0.16434782608695653,2.0
337,resp2048,resp3545,0.18,14.0
338,resp205,resp2373,0.5236363636363637,4.0
339,resp2055,resp2249,0.5236363636363636,3.0
340,resp206,resp4571,0.045,21.0
341,resp2068,resp3545,0.195,13.0
342,resp2074,resp11,0.06857142857142857,12.0
343,resp2079,resp309,0.06545454545454546,2.0
344,resp2089,resp5153,0.5333333333333333,3.0
345,resp2090,resp6098,0.27,5.0
346,resp2091,resp3520,0.48,2.0
347,resp2092,resp4923,0.5236363636363637,1.0
348,resp2095,resp2066,0.2571428571428571,4.0
349,resp2104,resp2885,0.64,1.0
350,resp2120,resp3545,0.66,1.0
351,resp2121,resp514,0.36,1.0
352,resp2124,resp742,0.12,5.0
353,resp2125,resp742,0.12,5.0
354,resp2129,resp750,0.084,2.0
355,resp2131,resp3989,0.075,4.0
356,resp2133,resp5,0.06,6.0
357,resp2135,resp3756,0.6260869565217391,3.0
358,resp2140,resp2373,0.3490909090909091,11.0
359,resp2141,resp399,0.5333333333333333,1.0
360,resp2144,resp4914,0.24,4.0
361,resp2149,resp4935,0.48,6.0
362,resp2152,resp4169,0.17052631578947364,4.0
363,resp2154,resp553,0.06,7.0
364,resp2161,resp1071,0.24,2.0
365,resp2164,resp4761,0.12,4.0
366,resp2170,resp4809,0.4114285714285714,3.0
367,resp2173,resp96,0.055000000000000014,3.0
368,resp2176,resp4789,0.2925,4.0
369,resp2178,resp4495,0.6,1.0
370,resp2178,resp4724,0.05,2.0
371,resp2178,resp4914,0.15,5.0
372,resp2181,resp5977,0.18,3.0
373,resp2182,resp2954,0.4547368421052632,5.0
374,resp2191,resp848,0.06,4.0
375,resp2194,resp2865,0.6,1.0
376,resp2194,resp96,0.05,4.0
377,resp2196,resp5941,0.2475,8.0
378,resp2204,resp2562,0.225,5.0
379,resp2209,resp5871,0.54,1.0
380,resp2219,resp1224,0.08,4.0
381,resp2219,resp1385,0.7999999999999999,1.0
382,resp2220,resp3192,0.4430769230769231,1.0
383,resp2222,resp2834,0.48,3.0
384,resp2236,resp4374,0.64,1.0
385,resp2237,resp3520,0.3657142857142857,4.0
386,resp2238,resp143,0.12,3.0
387,resp2239,resp1944,0.048,7.0
388,resp2242,resp3520,0.03428571428571429,9.0
389,resp2244,resp819,0.3,3.0
390,resp225,resp2264,0.3428571428571429,2.0
391,resp2253,resp848,0.15428571428571428,2.0
392,resp2269,resp346,0.54,3.0
393,resp2275,resp328,0.18,1.0
394,resp2279,resp2659,0.5760000000000001,1.0
395,resp2285,resp2072,0.72,1.0
396,resp2288,resp3608,0.5142857142857142,2.0
397,resp2294,resp3,0.375,3.0
398,resp2300,resp2461,0.4400000000000001,1.0
399,resp2300,resp3989,0.055000000000000014,7.0
400,resp2312,resp2072,0.36,3.0
401,resp2318,resp1379,0.17052631578947364,3.0
402,resp2318,resp2562,0.17052631578947364,7.0
403,resp2319,resp3159,0.2290909090909091,5.0
404,resp2322,resp3006,0.42,2.0
405,resp2322,resp5153,0.42,4.0
406,resp2326,resp2378,0.5760000000000001,2.0
407,resp2328,resp2950,0.45,3.0
408,resp2328,resp5584,0.045,9.0
409,resp2330,resp2681,0.15,3.0
410,resp2333,resp3447,0.135,3.0
411,resp2335,resp4935,0.15,20.0
412,resp2336,resp488,0.0675,11.0
413,resp2343,resp1841,0.4430769230769231,1.0
414,resp2343,resp3194,0.05538461538461538,4.0
415,resp2343,resp3752,0.05538461538461538,6.0
416,resp2344,resp4643,0.12,8.0
417,resp2345,resp2159,0.36,1.0
418,resp2346,resp1908,0.06,8.0
419,resp2348,resp346,0.14400000000000002,8.0
420,resp235,resp3356,0.045,4.0
421,resp2350,resp2834,0.08,11.0
422,resp2360,resp3797,0.6646153846153846,1.0
423,resp2364,resp4169,0.051428571428571435,11.0
424,resp2366,resp5657,0.11076923076923076,7.0
425,resp238,resp819,0.4114285714285714,2.0
426,resp2383,resp2128,0.252,6.0
427,resp2386,resp2804,0.42,1.0
428,resp2389,resp965,0.135,5.0
429,resp2390,resp4275,0.12461538461538466,1.0
430,resp2394,resp3756,0.3692307692307692,6.0
431,resp2403,resp4308,0.72,1.0
432,resp2403,resp4643,0.06,11.0
433,resp2407,resp4483,0.4363636363636363,2.0
434,resp2408,resp5727,0.4114285714285714,3.0
435,resp241,resp5535,0.05,7.0
436,resp2410,resp2545,0.4114285714285714,1.0
437,resp2416,resp5484,0.3490909090909091,7.0
438,resp2417,resp2475,0.4,4.0
439,resp2419,resp4704,0.135,3.0
440,resp242,resp5657,0.12,6.0
441,resp2420,resp1723,0.10956521739130436,5.0
442,resp2420,resp6026,0.4382608695652174,1.0
443,resp2421,resp4759,0.4114285714285714,2.0
444,resp2422,resp6078,0.2290909090909091,3.0
445,resp2423,resp328,0.07200000000000001,2.0
446,resp2427,resp1804,0.07,1.0
447,resp2435,resp2475,0.045,9.0
448,resp2438,resp2373,0.48,5.0
