uid,function,hierarchy,region,operation,clocent,bc_1,in_degree,out_degree,sum_degree,corporate,social,comm_qual,_n,sum_degree_sqrt,bxcx_sum_degree,bxcx_social,bxcx_corp,bxcx_commqual,bxcx_bc,bc_2,bxcx_bc2,const,_E,_MM,_TL,_TM,business_mng,corp_gov,implementation,service,log_comm_qual,management,mng_degree
resp553,leadership,TL,country-wide,service,0.0,0.0,0.0,13.0,13.0,23.0,25.0,4.1,11.0,169.0,3.859873340080033,0.27626859279953503,0.1549453408084495,305.71496831020806,-0.5894913775946455,0.0,-0.8479547481484687,3,0,0,1,0,0,0,0,1,1.410986973710262,1,0.0
resp558,network,E,east,business_mng,0.8812489558424725,0.18957575183780387,5.0,44.0,49.0,81.0,60.0,4.833333333333333,12.0,2401.0,7.373258799572311,1.543656843525421,1.5824510363283095,722.9704437048193,1.728935140206988,240283.0,1.8645310445923555,3,1,0,0,0,1,0,0,0,1.575536360758419,0,0.0
resp562,network,TL,west,implementation,0.7732857735458926,0.004837166734715214,7.0,9.0,16.0,19.0,34.0,4.666666666666667,3.0,256.0,4.321839547389929,0.6984134169103801,-0.03757448216384697,601.7478116965717,-0.5250457178962166,6131.0,1.0614194124637062,3,0,0,1,0,0,0,1,0,1.540445040947149,1,0.0
resp573,leadership,TL,country-wide,corp_gov,0.8112497192727818,0.04259194607662342,9.0,14.0,23.0,38.0,31.0,4.818181818181818,11.0,529.0,5.201579642128343,0.5690142712248211,0.6911345929422454,711.1958067546424,-0.032446014891073814,53984.33333333347,1.537640353857637,3,0,0,1,0,0,1,0,0,1.5723966407537513,1,0.0
resp595,network,MM,west,business_mng,0.7968941092671771,0.254190705554931,8.0,28.0,36.0,34.0,31.0,4.068965517241379,29.0,1296.0,6.428254612102503,0.5690142712248211,0.5685878646685171,293.8003332892352,2.435344322045666,322181.0,1.9287429922597752,3,0,1,0,0,1,0,0,0,1.4033887944791907,1,36.0
resp597,network,MM,central,implementation,0.7079296837670408,0.18191565530749068,2.0,22.0,24.0,39.0,26.0,4.5,9.0,576.0,5.3111580269651775,0.3287520587876947,0.7200630449734237,497.5131193294509,1.6426577127100148,230574.0,1.855501068667416,3,0,1,0,0,0,0,1,0,1.5040773967762742,1,24.0
resp608,network,TL,west,business_mng,0.6547416451360373,0.0020426398101741454,2.0,26.0,28.0,72.0,18.0,4.306451612903226,63.0,784.0,5.7199526558499825,-0.14778772301604526,1.4370945704142812,395.30566718128443,-0.5622393017469518,2589.0,0.872729246367379,3,0,0,1,0,1,0,0,0,1.460114273355158,1,0.0
resp611,network,E,east,business_mng,0.9249583471180358,0.4698276695247056,10.0,25.0,35.0,54.0,38.0,4.5,7.0,1225.0,6.346178537418183,0.8571837850805492,1.0924325597842248,497.5131193294509,4.5542153718861815,595496.0,2.0632290134968168,3,1,0,0,0,1,0,0,0,1.5040773967762742,0,0.0
resp621,logistics,E,country-wide,implementation,0.0,0.0,0.0,3.0,3.0,6.0,5.0,4.0,3.0,9.0,1.3009856682506291,-1.534385061696166,-1.059154447699062,268.66371846960567,-0.5894913775946455,0.0,-0.8479547481484687,3,1,0,0,0,0,0,1,0,1.3862943611198906,0,0.0
resp622,security,E,country-wide,corp_gov,0.0,0.0,0.0,5.0,5.0,5.0,4.0,5.0,3.0,25.0,2.0681122920294968,-1.7310662348668957,-1.19742950185331,863.2179224407075,-0.5894913775946455,0.0,-0.8479547481484687,3,1,0,0,0,0,1,0,0,1.6094379124341003,0,0.0
resp634,network,E,central,business_mng,0.7601257513390138,0.003860423557814636,5.0,2.0,7.0,1.0,6.0,4.5,4.0,49.0,2.6414681220093783,-1.3635259459925535,-2.1044134033594597,497.5131193294509,-0.5380338612068184,4893.0,1.0120476257590914,3,1,0,0,0,1,0,0,0,1.5040773967762742,0,0.0
resp664,network,MM,east,implementation,0.8746658037258327,0.041309609046314436,12.0,7.0,19.0,17.0,13.0,4.8,5.0,361.0,4.726523633470892,-0.5405678834908161,-0.14670421359800187,697.271409186861,-0.04888244986533657,52359.0,1.5309477078385851,3,0,1,0,0,0,0,1,0,1.5686159179138452,1,19.0
resp689,hr,MM,country-wide,corp_gov,0.8848643361741338,0.5318058900453855,9.0,16.0,25.0,31.0,21.0,4.583333333333333,12.0,625.0,5.417583487417034,0.04775023713926032,0.4684419074554052,547.6281140480777,5.105816135568473,674052.0,2.09035753091234,3,0,1,0,0,0,1,0,0,1.5224265354444706,1,25.0
resp698,mng,E,country-wide,service,0.7643079138166564,0.0035219560110534526,8.0,5.0,13.0,5.0,9.0,5.0,3.0,169.0,3.859873340080033,-0.9515360833172548,-1.19742950185331,863.2179224407075,-0.5425372705895715,4464.0,0.9919625830788632,3,1,0,0,0,0,0,0,1,1.6094379124341003,0,0.0
resp715,hr,E,west,service,0.7452992555981555,0.0464734087981838,2.0,14.0,16.0,26.0,36.0,4.8,5.0,256.0,4.321839547389929,0.7795993838576397,0.2818390689600669,697.271409186861,0.017181809680376803,58904.0,1.5567342712576375,3,1,0,0,0,0,0,0,1,1.5686159179138452,0,0.0
