,index,src,to,to_hierarchy,src_hierarchy,clocent,weights,clo_rank,weight_rank,optimal
146,187,resp1429,resp85,MM,TL,0.8514940433029885,0.4,1.0,2.0,False
147,188,resp1435,resp4812,TL,E,0.7584025089120862,0.10588235294117647,12.0,11.0,False
148,191,resp1444,resp3448,TL,E,0.7514638442154478,0.051428571428571435,18.0,19.0,False
149,192,resp1446,resp553,TL,E,0.6761027769695125,0.36,7.0,2.0,False
150,193,resp1447,resp2659,TL,E,0.6823507400252188,0.14823529411764708,9.0,9.0,True
151,194,resp1447,resp2903,TL,E,0.6823507400252188,0.5929411764705883,2.0,1.0,False
152,195,resp1449,resp2950,TL,E,0.8082098327396623,0.3150000000000001,9.0,5.0,False
153,197,resp1451,resp5130,MM,TL,0.7930771603670148,0.06,2.0,1.0,False
154,198,resp1453,resp4269,TL,E,0.8584055209272011,0.5169230769230769,1.0,1.0,True
155,199,resp1456,resp6098,TL,E,0.7386163126943556,0.4666666666666666,5.0,1.0,False
156,200,resp1458,resp4823,TL,E,0.7395634129387167,0.48,5.0,3.0,False
157,201,resp1462,resp1814,TL,E,0.7846494580262233,0.63,3.0,1.0,False
158,202,resp1472,resp1210,TM,TM,0.8186641276345119,0.18857142857142856,2.0,2.0,True
159,205,resp1476,resp1376,TM,MM,0.790911471432407,0.065,10.0,10.0,True
160,206,resp1477,resp1161,MM,TL,0.7880444126544796,0.05,3.0,3.0,True
161,208,resp1481,resp2903,TL,E,0.6180105499783528,0.2025,7.0,7.0,True
162,209,resp1483,resp169,TL,E,0.837229267461353,0.6,1.0,2.0,False
163,211,resp1487,resp3545,TL,E,0.7728118347850563,0.18,22.0,14.0,False
164,212,resp1492,resp4935,TL,E,0.820960175671149,0.5634782608695653,7.0,3.0,False
165,213,resp1496,resp3608,TL,E,0.6921695766520091,0.5305263157894736,11.0,1.0,False
166,214,resp150,resp2890,TL,E,0.8334470362623995,0.35000000000000003,3.0,3.0,True
167,216,resp1504,resp2475,TL,E,0.870115814407656,0.64,3.0,3.0,True
168,217,resp1506,resp5941,TL,E,0.7242189190091045,0.48,6.0,3.0,False
169,218,resp1511,resp3545,TL,E,0.7891520195741173,0.1,19.0,16.0,False
170,220,resp1514,resp3608,TL,E,0.7772825561963977,0.5,1.0,4.0,False
171,221,resp1519,resp4266,MM,TL,0.7976858496094253,0.03428571428571429,2.0,6.0,False
172,222,resp1522,resp3756,TL,E,0.005228730461812483,0.4114285714285714,15.0,5.0,False
173,223,resp1526,resp608,TL,E,0.7499708023802822,0.45,4.0,1.0,False
174,224,resp1529,resp101,MM,TL,0.7574856974168167,0.36,1.0,1.0,True
175,225,resp1531,resp5584,TL,E,0.6922636862885186,0.20210526315789476,9.0,7.0,False
176,226,resp1532,resp4774,TL,E,0.8188277050614833,0.20571428571428574,6.0,9.0,False
177,227,resp1534,resp2461,TM,MM,0.8418299007613923,0.4235294117647059,3.0,2.0,False
178,228,resp1534,resp4571,TM,MM,0.8418299007613923,0.3388235294117647,15.0,3.0,False
179,229,resp1535,resp3448,TL,E,0.7478668482434099,0.12,20.0,17.0,False
180,231,resp1542,resp4571,TM,MM,0.9370133661613028,0.06,2.0,16.0,False
181,236,resp1553,resp965,MM,TL,0.88510323043336,0.48,2.0,1.0,False
182,237,resp1554,resp3823,TL,E,0.768828981794124,0.075,1.0,1.0,True
183,238,resp1560,resp4977,TL,E,0.6916451395437995,0.108,2.0,2.0,True
184,239,resp1561,resp2715,MM,TL,0.8489154265226049,0.42,1.0,1.0,True
185,240,resp1563,resp947,MM,TL,0.7046910302004915,0.28,4.0,3.0,False
186,243,resp1567,resp4571,TM,MM,0.9136167555247926,0.225,4.0,7.0,False
187,244,resp1570,resp4049,TL,E,0.8732679040874665,0.42,1.0,3.0,False
188,245,resp158,resp5941,TL,E,0.723934254194016,0.405,7.0,4.0,False
189,246,resp1580,resp4774,TL,E,0.8038895506657756,0.5236363636363637,9.0,1.0,False
190,247,resp1583,resp5285,TL,E,0.7279215180883836,0.26666666666666666,1.0,3.0,False
191,248,resp1587,resp2373,TL,E,0.7597382196712009,0.36,12.0,10.0,False
192,250,resp1589,resp1512,TL,E,0.0026143652309062416,0.24,1.0,1.0,True
193,252,resp1590,resp4013,MM,TL,0.7113370428347181,0.24,1.0,1.0,True
194,254,resp1603,resp2567,MM,TL,0.7732128220578222,0.15,5.0,3.0,False
195,255,resp1604,resp1104,TL,E,0.8794995078670367,0.12,1.0,1.0,True
196,256,resp1604,resp5873,TL,E,0.8794995078670367,0.4,1.0,1.0,True
197,257,resp1605,resp2373,TL,E,0.7070456813763193,0.15428571428571428,19.0,14.0,False
